path,length,format,width,height,iscubemap,mipmapcount,regioncount,glyphgroupcount
textures/1_1_2_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_1_2_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_1_2_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_1_3.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_1_3_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_1_3_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_1_3_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_1_4.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_1_4_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_1_4_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_1_4_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_2_0.aei,16409,Rgba8,64,64,False,1,1,0
textures/1_2_0_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/1_2_0_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/1_2_0_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_2_1.aei,16409,Rgba8,64,64,False,1,1,0
textures/1_2_1_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_2_1_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/1_2_1_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_2_2.aei,16409,Rgba8,64,64,False,1,1,0
textures/1_2_2_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_2_2_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/1_2_2_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_2_3.aei,16409,Rgba8,64,64,False,1,1,0
textures/1_2_3_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_2_3_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_2_3_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_2_4.aei,16409,Rgba8,64,64,False,1,1,0
textures/1_2_4_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/1_2_4_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/1_2_4_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_2_5.aei,16409,Rgba8,64,64,False,1,1,0
textures/1_2_5_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/1_2_5_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/1_2_5_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_0.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_0_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_0_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_0_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_1.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_1_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_1_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_1_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_2.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_2_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_2_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_2_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_3.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_3_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_3_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_3_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_4.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_4_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_4_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_4_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_5.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_5_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_5_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_5_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_6.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_6_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_6_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_6_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_7.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_7_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_7_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_7_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_8.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_8_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_8_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_8_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/2_0_0.aei,8217,Rgba8,64,32,False,1,1,0
textures/2_0_0_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_0_0_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_0_0_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/2_0_1.aei,8217,Rgba8,64,32,False,1,1,0
textures/2_0_1_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_0_1_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_0_1_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/2_0_2.aei,8217,Rgba8,64,32,False,1,1,0
textures/2_0_2_ipad.aei,16409,Rgba8,128,32,False,1,1,0
textures/2_0_2_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_0_2_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/2_0_3.aei,8217,Rgba8,64,32,False,1,1,0
textures/2_0_3_ipad.aei,16409,Rgba8,128,32,False,1,1,0
textures/2_0_3_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_0_3_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/2_0_4.aei,8217,Rgba8,64,32,False,1,1,0
textures/2_0_4_ipad.aei,16417,Rgba8,128,32,False,1,2,0
textures/2_0_4_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_0_4_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/2_1_0.aei,8217,Rgba8,64,32,False,1,1,0
textures/2_1_0_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_1_0_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_1_0_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/2_1_1.aei,8217,Rgba8,64,32,False,1,1,0
textures/2_1_1_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_1_1_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_1_1_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/2_1_2.aei,8217,Rgba8,64,32,False,1,1,0
textures/2_1_2_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_1_2_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_1_2_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/2_1_3.aei,8217,Rgba8,64,32,False,1,1,0
textures/2_1_3_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_1_3_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_1_3_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/2_1_4.aei,8217,Rgba8,64,32,False,1,1,0
textures/2_1_4_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_1_4_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_1_4_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/2_2_0.aei,16409,Rgba8,64,64,False,1,1,0
textures/2_2_0_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/2_2_0_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/2_2_0_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/2_2_1.aei,16409,Rgba8,64,64,False,1,1,0
textures/2_2_1_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/2_2_1_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/2_2_1_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/2_2_2.aei,16409,Rgba8,64,64,False,1,1,0
textures/2_2_2_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_2_2_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/2_2_2_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/2_2_3.aei,16409,Rgba8,64,64,False,1,1,0
textures/2_2_3_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/2_2_3_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/2_2_3_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/2_2_4.aei,16409,Rgba8,64,64,False,1,1,0
textures/2_2_4_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/2_2_4_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/2_2_4_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/2_3_0.aei,8217,Rgba8,64,32,False,1,1,0
textures/2_3_0_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_3_0_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_3_0_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/2_3_1.aei,8217,Rgba8,64,32,False,1,1,0
textures/2_3_1_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_3_1_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_3_1_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/2_3_2.aei,8217,Rgba8,64,32,False,1,1,0
textures/2_3_2_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_3_2_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_3_2_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/2_3_3.aei,8217,Rgba8,64,32,False,1,1,0
textures/2_3_3_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_3_3_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_3_3_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/2_3_4.aei,8217,Rgba8,64,32,False,1,1,0
textures/2_3_4_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_3_4_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/2_3_4_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/4_0_0.aei,16409,Rgba8,64,64,False,1,1,0
textures/4_0_0_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/4_0_0_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/4_0_0_ipad_large.aei,262169,Rgba8,256,256,False,1,1,0
textures/4_0_1.aei,16409,Rgba8,64,64,False,1,1,0
textures/4_0_1_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/4_0_1_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/4_0_1_ipad_large.aei,262169,Rgba8,256,256,False,1,1,0
textures/4_0_2.aei,16409,Rgba8,64,64,False,1,1,0
textures/4_0_2_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/4_0_2_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/4_0_2_ipad_large.aei,262169,Rgba8,256,256,False,1,1,0
textures/4_1_0.aei,4121,Rgba8,64,16,False,1,1,0
textures/4_1_0_ipad.aei,16409,Rgba8,128,32,False,1,1,0
textures/4_1_0_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/4_1_0_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/4_1_1.aei,4121,Rgba8,64,16,False,1,1,0
textures/4_1_1_ipad.aei,16409,Rgba8,128,32,False,1,1,0
textures/4_1_1_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/4_1_1_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/4_1_2.aei,4121,Rgba8,64,16,False,1,1,0
textures/4_1_2_ipad.aei,16409,Rgba8,128,32,False,1,1,0
textures/4_1_2_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/4_1_2_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/4_1_3.aei,4121,Rgba8,64,16,False,1,1,0
textures/4_1_3_ipad.aei,16409,Rgba8,128,32,False,1,1,0
textures/4_1_4.aei,4121,Rgba8,64,16,False,1,1,0
textures/4_1_4_ipad.aei,16409,Rgba8,128,32,False,1,1,0
textures/4_2_0.aei,16409,Rgba8,64,64,False,1,1,0
textures/4_2_0_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/4_2_0_ipad_1440.aei,16409,Rgba8,128,32,False,1,1,0
textures/4_2_0_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/4_2_1.aei,16409,Rgba8,64,64,False,1,1,0
textures/4_2_1_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/4_2_1_ipad_1440.aei,16409,Rgba8,128,32,False,1,1,0
textures/4_2_1_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/4_2_2.aei,16409,Rgba8,64,64,False,1,1,0
textures/4_2_2_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/4_2_2_ipad_1440.aei,16409,Rgba8,128,32,False,1,1,0
textures/4_2_2_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/4_2_3.aei,32793,Rgba8,64,128,False,1,1,0
textures/4_2_3_ipad_1440.aei,16409,Rgba8,128,32,False,1,1,0
textures/4_2_3_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/4_2_4.aei,32793,Rgba8,64,128,False,1,1,0
textures/4_2_4_ipad_1440.aei,16409,Rgba8,128,32,False,1,1,0
textures/4_2_4_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/4_3_0.aei,8217,Rgba8,64,32,False,1,1,0
textures/4_3_0_ipad.aei,16409,Rgba8,128,32,False,1,1,0
textures/4_3_0_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/4_3_0_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/4_3_1.aei,8217,Rgba8,64,32,False,1,1,0
textures/4_3_1_ipad.aei,16409,Rgba8,128,32,False,1,1,0
textures/4_3_1_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/4_3_1_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/4_3_2.aei,8217,Rgba8,64,32,False,1,1,0
textures/4_3_2_ipad.aei,16409,Rgba8,128,32,False,1,1,0
textures/4_3_2_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/4_3_2_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/4_3_3.aei,8217,Rgba8,64,32,False,1,1,0
textures/4_3_3_ipad.aei,16409,Rgba8,128,32,False,1,1,0
textures/4_3_3_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/4_3_3_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/6_0_0.aei,4121,Rgba8,64,16,False,1,1,0
textures/6_0_0_ipad.aei,16409,Rgba8,128,32,False,1,1,0
textures/6_0_0_ipad_1440.aei,16409,Rgba8,128,32,False,1,1,0
textures/6_0_0_ipad_large.aei,32793,Rgba8,256,32,False,1,1,0
textures/6_0_1.aei,4121,Rgba8,64,16,False,1,1,0
textures/6_0_1_ipad.aei,16409,Rgba8,128,32,False,1,1,0
textures/6_0_1_ipad_1440.aei,16409,Rgba8,128,32,False,1,1,0
textures/6_0_1_ipad_large.aei,32793,Rgba8,256,32,False,1,1,0
textures/6_1_0.aei,8217,Rgba8,64,32,False,1,1,0
textures/6_1_0_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/6_1_0_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/6_1_0_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/6_1_1.aei,8217,Rgba8,64,32,False,1,1,0
textures/6_1_1_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/6_1_1_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/6_1_1_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/6_1_2.aei,8217,Rgba8,64,32,False,1,1,0
textures/6_1_2_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/6_1_2_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/6_1_2_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/6_2_0.aei,16409,Rgba8,64,64,False,1,1,0
textures/6_2_0_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/6_2_0_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/6_2_0_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/6_2_1.aei,16409,Rgba8,64,64,False,1,1,0
textures/6_2_1_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/6_2_1_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/6_2_1_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/6_2_2.aei,16409,Rgba8,64,64,False,1,1,0
textures/6_2_2_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/6_2_2_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/6_2_2_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/6_2_3.aei,16409,Rgba8,64,64,False,1,1,0
textures/6_2_3_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/6_2_3_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/6_2_3_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/6_2_4.aei,16409,Rgba8,64,64,False,1,1,0
textures/6_2_4_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/6_2_4_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/6_2_4_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/7_0_0.aei,8217,Rgba8,64,32,False,1,1,0
textures/7_0_0_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/7_0_0_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/7_0_0_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/7_0_1.aei,8217,Rgba8,64,32,False,1,1,0
textures/7_0_1_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/7_0_1_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/7_0_1_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/7_1_0.aei,8217,Rgba8,64,32,False,1,1,0
textures/7_1_0_ipad.aei,16409,Rgba8,128,32,False,1,1,0
textures/7_1_0_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/7_1_0_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/7_1_1.aei,8217,Rgba8,64,32,False,1,1,0
textures/7_1_1_ipad.aei,16409,Rgba8,128,32,False,1,1,0
textures/7_1_1_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/7_1_1_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/7_2_0.aei,8217,Rgba8,64,32,False,1,1,0
textures/7_2_0_ipad.aei,16409,Rgba8,128,32,False,1,1,0
textures/7_2_0_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/7_2_0_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/7_2_1.aei,8217,Rgba8,64,32,False,1,1,0
textures/7_2_1_ipad.aei,16409,Rgba8,128,32,False,1,1,0
textures/7_2_1_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/7_2_1_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/7_2_2.aei,8217,Rgba8,64,32,False,1,1,0
textures/7_2_2_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/7_2_2_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/7_2_2_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/7_3_0.aei,8217,Rgba8,64,32,False,1,1,0
textures/7_3_0_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/7_3_0_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/7_3_0_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/7_3_1.aei,8217,Rgba8,64,32,False,1,1,0
textures/7_3_1_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/7_3_1_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/7_3_1_ipad_large.aei,65561,Rgba8,256,64,False,1,1,0
textures/9_0_0.aei,32793,Rgba8,64,128,False,1,1,0
textures/9_0_0_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/9_0_0_ipad_1440.aei,131097,Rgba8,128,256,False,1,1,0
textures/9_0_0_ipad_large.aei,262169,Rgba8,256,256,False,1,1,0
textures/9_1_0.aei,32793,Rgba8,64,128,False,1,1,0
textures/9_1_0_ipad.aei,262169,Rgba8,256,256,False,1,1,0
textures/9_1_0_ipad_1440.aei,262169,Rgba8,256,256,False,1,1,0
textures/9_1_0_ipad_large.aei,262169,Rgba8,256,256,False,1,1,0
textures/9_2_0.aei,32793,Rgba8,64,128,False,1,1,0
textures/9_2_0_ipad.aei,262169,Rgba8,256,256,False,1,1,0
textures/9_2_0_ipad_1440.aei,262169,Rgba8,256,256,False,1,1,0
textures/9_2_0_ipad_large.aei,262169,Rgba8,256,256,False,1,1,0
textures/9_3_0.aei,32793,Rgba8,64,128,False,1,1,0
textures/9_3_0_ipad.aei,262169,Rgba8,256,256,False,1,1,0
textures/9_3_0_ipad_1440.aei,262169,Rgba8,256,256,False,1,1,0
